insight_id,insight_category,insight_title,metric_name,metric_value,comparison_baseline,business_implication,severity,supporting_data,data_quality_note
I001,Supply,Top 5 mandis contribute 10.3% of total arrivals,supply_concentration_top5,10.292205461549097,50% threshold,Moderate concentration,Medium,"Top 5: Tadipatri Mandi, Jorhat Grain Market, Chapra Grain Market, Bijapur Market, Eluru APMC",Based on valid arrival records with resolved quantities
I002,Supply,Top 3 crops represent 46.8% of total arrivals,crop_concentration_top3,46.837510640866356,70% threshold,Moderate diversity,Medium,"Top 3: Wheat, Cotton, Sugarcane",Excludes REQUIRES_INVESTIGATION crops
I003,Price,Wheat has high arrivals but 41.6% below-MSP rate,price_vulnerability,41.58790170132325,30% threshold,Farmers likely receiving below-MSP prices for significant volume,High,"Arrivals: 219,523 qtl, Crash count: 440",Based on valid price records
I004,Price,Cotton has high arrivals but 40.1% below-MSP rate,price_vulnerability,40.0562851782364,30% threshold,Farmers likely receiving below-MSP prices for significant volume,High,"Arrivals: 202,133 qtl, Crash count: 427",Based on valid price records
I005,Price,Sugarcane has high arrivals but 39.0% below-MSP rate,price_vulnerability,39.01292596944771,30% threshold,Farmers likely receiving below-MSP prices for significant volume,High,"Arrivals: 171,772 qtl, Crash count: 332",Based on valid price records
I006,Price,Tadipatri Mandi has high volume but 43.9% price crash rate,mandi_vulnerability,43.925233644859816,30% threshold,High-volume mandi with frequent below-MSP trading,High,"Arrivals: 26,813 qtl, District: Hisar",Based on valid price and arrival records
I007,Price,Jorhat Grain Market has high volume but 34.9% price crash rate,mandi_vulnerability,34.883720930232556,30% threshold,High-volume mandi with frequent below-MSP trading,High,"Arrivals: 26,357 qtl, District: Kurukshetra",Based on valid price and arrival records
I008,Price,Chapra Grain Market has high volume but 37.6% price crash rate,mandi_vulnerability,37.62376237623762,30% threshold,High-volume mandi with frequent below-MSP trading,High,"Arrivals: 25,972 qtl, District: nan",Based on valid price and arrival records
I009,Weather,High-rainfall days (>48.9mm) associated with 3.0% lower arrivals,weather_arrival_association,-3.0393337315269155,Low-rainfall days baseline,Minimal weather-supply association,Low,"Correlation: -0.033, p=0.7047",DATE-LEVEL analysis only; no sensor-to-mandi mapping available
I010,Data Quality,0.0% of arrival records have unresolvable units,data_quality_unresolved_units,0.0,Data quality threshold,Significant portion of arrival data cannot be quantified,Informational,"Unresolvable: 0 / 25,000 records",These records excluded from quantity-based KPIs
